,commit_date,commit_count,test_name,measurement,value
0,2022-07-08 14:20:45+00:00,1430,test-run-vegeta-rate-0.1.sh,quantile-0.5,0.551492821
1,2022-07-08 14:20:45+00:00,1430,test-run-vegeta-rate-0.1.sh,quantile-1.0,0.563154227
2,2022-07-08 14:20:45+00:00,1430,test-run-vegeta-rate-0.1.sh,quantile-mean,0.3955632446011905
3,2022-07-08 14:20:45+00:00,1430,test-run-vegeta-rate-0.1.sh,quantile-0.9,0.557094831
4,2022-07-08 14:20:45+00:00,1430,test-run-vegeta-rate-1.0.sh,quantile-0.5,0.702754152
5,2022-07-08 14:20:45+00:00,1430,test-run-vegeta-rate-1.0.sh,quantile-1.0,0.710395591
6,2022-07-08 14:20:45+00:00,1430,test-run-vegeta-rate-1.0.sh,quantile-mean,0.48251280130538954
7,2022-07-08 14:20:45+00:00,1430,test-run-vegeta-rate-1.0.sh,quantile-0.9,0.710395591
8,2022-07-01 13:12:58+00:00,1426,test-run-vegeta-rate-1.0.sh,quantile-0.5,0.6906102
9,2022-07-01 13:12:58+00:00,1426,test-run-vegeta-rate-1.0.sh,quantile-1.0,0.710859578
10,2022-07-01 13:12:58+00:00,1426,test-run-vegeta-rate-1.0.sh,quantile-mean,0.4855799769476747
11,2022-07-01 13:12:58+00:00,1426,test-run-vegeta-rate-1.0.sh,quantile-0.9,0.700626903
12,2022-07-01 13:12:58+00:00,1426,test-run-vegeta-rate-0.1.sh,quantile-0.5,0.55678568
13,2022-07-01 13:12:58+00:00,1426,test-run-vegeta-rate-0.1.sh,quantile-1.0,0.586171119
14,2022-07-01 13:12:58+00:00,1426,test-run-vegeta-rate-0.1.sh,quantile-mean,0.3822561968430234
15,2022-07-01 13:12:58+00:00,1426,test-run-vegeta-rate-0.1.sh,quantile-0.9,0.586171119
16,2022-05-10 15:03:53+00:00,1416,test-run-vegeta-rate-1.0.sh,quantile-0.5,0.681385608
17,2022-05-10 15:03:53+00:00,1416,test-run-vegeta-rate-1.0.sh,quantile-1.0,0.717256533
18,2022-05-10 15:03:53+00:00,1416,test-run-vegeta-rate-1.0.sh,quantile-mean,0.4674820857209302
19,2022-05-10 15:03:53+00:00,1416,test-run-vegeta-rate-1.0.sh,quantile-0.9,0.711741913
20,2022-05-10 15:03:53+00:00,1416,test-run-vegeta-rate-0.1.sh,quantile-0.5,0.546287644
21,2022-05-10 15:03:53+00:00,1416,test-run-vegeta-rate-0.1.sh,quantile-1.0,0.577889865
22,2022-05-10 15:03:53+00:00,1416,test-run-vegeta-rate-0.1.sh,quantile-mean,0.3886966757225435
23,2022-05-10 15:03:53+00:00,1416,test-run-vegeta-rate-0.1.sh,quantile-0.9,0.5630579522000003
